iter	Passed	Remaining
408	5431	5192
409	5446	5180
410	5459	5167
411	5475	5156
412	5491	5145
413	5505	5132
414	5518	5119
415	5532	5106
416	5543	5091
417	5556	5077
418	5570	5064
419	5583	5051
420	5595	5037
421	5606	5021
422	5617	5006
423	5629	4991
424	5640	4976
425	5651	4961
426	5662	4946
427	5673	4930
428	5684	4916
429	5697	4902
430	5710	4888
431	5724	4876
432	5739	4864
433	5752	4851
434	5767	4839
435	5780	4826
436	5793	4812
437	5805	4797
438	5816	4783
439	5828	4768
440	5839	4753
441	5850	4738
442	5861	4723
443	5874	4710
444	5886	4695
445	5897	4681
446	5910	4667
447	5925	4656
448	5938	4642
449	5950	4627
450	5963	4614
451	5977	4602
452	5990	4588
453	6002	4574
454	6014	4560
455	6026	4546
456	6037	4531
457	6048	4516
458	6060	4502
459	6071	4487
460	6082	4472
461	6093	4458
462	6097	4438
463	6108	4423
464	6123	4411
465	6136	4398
466	6149	4385
467	6161	4370
468	6175	4358
469	6186	4343
470	6199	4330
471	6210	4315
472	6222	4301
473	6233	4287
474	6244	4272
475	6255	4257
476	6265	4242
477	6276	4228
478	6287	4213
479	6298	4199
480	6309	4184
481	6322	4171
482	6334	4157
483	6347	4144
484	6359	4130
485	6374	4118
486	6386	4104
487	6400	4092
488	6411	4077
489	6423	4063
490	6433	4048
491	6444	4034
492	6455	4020
493	6466	4005
494	6477	3991
495	6488	3976
496	6499	3962
497	6510	3948
498	6521	3933
499	6534	3920
500	6545	3906
501	6558	3893
502	6571	3879
503	6583	3866
504	6596	3853
505	6609	3840
506	6622	3826
507	6633	3812
508	6644	3798
509	6655	3784
510	6666	3770
511	6677	3755
512	6687	3741
513	6698	3727
514	6709	3712
515	6720	3698
516	6732	3685
517	6746	3672
518	6759	3659
519	6772	3646
520	6785	3633
521	6798	3620
522	6811	3607
523	6824	3594
524	6837	3581
525	6850	3568
526	6864	3555
527	6877	3542
528	6888	3528
529	6899	3514
530	6910	3500
531	6921	3486
532	6932	3472
533	6945	3459
534	6957	3446
535	6972	3434
536	6985	3421
537	6998	3408
538	7009	3394
539	7021	3380
540	7032	3366
541	7045	3353
542	7053	3338
543	7065	3324
544	7076	3310
545	7087	3296
546	7097	3282
547	7108	3269
548	7119	3255
549	7131	3241
550	7142	3227
551	7154	3214
552	7167	3201
553	7178	3187
554	7191	3174
555	7203	3161
556	7216	3148
557	7227	3134
558	7239	3120
559	7250	3107
560	7261	3093
561	7272	3079
562	7283	3066
563	7295	3052
564	7307	3039
565	7318	3025
566	7330	3012
567	7342	2998
568	7354	2985
569	7368	2973
570	7371	2956
571	7382	2942
572	7397	2930
573	7411	2918
574	7423	2905
575	7436	2891
576	7448	2878
577	7461	2865
578	7479	2854
579	7493	2842
580	7506	2829
581	7521	2817
582	7534	2804
583	7546	2791
584	7559	2778
585	7572	2765
586	7584	2752
587	7595	2738
588	7607	2725
589	7618	2711
590	7631	2698
591	7644	2685
592	7656	2672
593	7668	2659
594	7680	2646
595	7692	2632
596	7704	2619
597	7716	2606
598	7728	2593
599	7739	2579
600	7750	2566
601	7771	2555
602	7808	2551
603	7830	2541
604	7852	2530
605	7914	2533
606	7926	2520
607	7941	2507
608	7955	2494
609	7967	2481
610	7980	2468
611	7992	2455
612	8004	2441
613	8017	2428
614	8028	2415
615	8046	2403
616	8063	2391
617	8078	2379
618	8094	2366
619	8107	2353
620	8120	2340
621	8132	2327
622	8145	2314
623	8157	2300
624	8169	2287
625	8182	2274
626	8195	2261
627	8208	2248
628	8221	2235
629	8235	2222
630	8250	2209
631	8264	2196
632	8279	2184
633	8293	2171
634	8307	2158
635	8320	2145
636	8335	2133
637	8349	2120
638	8363	2107
639	8376	2094
640	8389	2081
641	8403	2068
642	8416	2055
643	8430	2042
644	8444	2029
645	8460	2016
646	8473	2003
647	8486	1990
648	8500	1977
649	8513	1964
650	8526	1951
651	8539	1938
652	8552	1925
653	8564	1911
654	8577	1898
655	8589	1885
656	8602	1872
657	8615	1859
658	8628	1846
659	8641	1833
660	8653	1819
661	8665	1806
662	8678	1793
663	8683	1778
664	8695	1765
665	8707	1751
666	8720	1738
667	8733	1725
668	8746	1712
669	8758	1699
670	8773	1686
671	8788	1674
672	8800	1660
673	8812	1647
674	8829	1635
675	8844	1622
676	8857	1609
677	8870	1596
678	8882	1582
679	8895	1569
680	8908	1556
681	8921	1543
682	8933	1530
683	8946	1517
684	8959	1504
685	8971	1490
686	8986	1478
687	8999	1464
688	9012	1451
689	9027	1439
690	9042	1426
691	9057	1413
692	9071	1400
693	9085	1387
694	9098	1374
695	9111	1361
696	9123	1348
697	9137	1335
698	9150	1322
699	9165	1309
700	9181	1296
701	9196	1283
702	9210	1270
703	9224	1257
704	9240	1245
705	9255	1232
706	9270	1219
707	9284	1206
708	9299	1193
709	9312	1180
710	9325	1167
711	9340	1154
712	9354	1141
713	9362	1127
714	9376	1114
715	9389	1101
716	9403	1088
717	9418	1075
718	9432	1062
719	9447	1049
720	9462	1036
721	9478	1023
722	9493	1011
723	9498	997
724	9512	984
725	9525	970
726	9540	957
727	9555	945
728	9569	932
729	9583	918
730	9597	905
731	9612	893
732	9628	880
733	9644	867
734	9663	854
735	9688	842
736	9707	829
737	9724	816
738	9738	803
739	9753	790
740	9768	777
741	9780	764
742	9793	751
743	9805	738
744	9817	724
745	9828	711
746	9840	698
747	9851	684
748	9863	671
749	9874	658
750	9886	645
751	9897	631
752	9909	618
753	9920	605
754	9932	592
755	9944	578
756	9956	565
757	9967	552
758	9978	539
759	9989	525
760	9993	512
761	10005	498
762	10016	485
763	10021	472
764	10033	459
765	10045	445
766	10058	432
767	10072	419
768	10088	406
769	10104	393
770	10117	380
771	10134	367
772	10176	355
773	10191	342
774	10207	329
775	10221	316
776	10237	303
777	10252	289
778	10268	276
779	10283	263
780	10297	250
781	10311	237
782	10325	224
783	10339	211
784	10352	197
785	10365	184
786	10378	171
787	10391	158
788	10404	145
789	10417	131
790	10431	118
791	10444	105
792	10457	92
793	10471	79
794	10486	65
795	10499	52
796	10513	39
797	10526	26
798	10541	13
799	10554	0
