iter	RMSE
349	44.14565929
350	44.13421319
351	44.12887929
352	44.12326689
353	44.11758642
354	44.11010144
355	44.10437214
356	44.09884102
357	44.09035559
358	44.08426968
359	44.07686508
360	44.06042842
361	44.05524109
362	44.0512644
363	44.04594469
364	44.04122736
365	44.02483683
366	44.01975269
367	44.01555284
368	44.0100049
369	44.00149919
370	43.98868894
371	43.98397041
372	43.97957983
373	43.97169465
374	43.96632772
375	43.95844629
376	43.94674358
377	43.94045818
378	43.92734932
379	43.91465282
380	43.90927267
381	43.90522909
382	43.9004856
383	43.89548325
384	43.8891444
385	43.8796728
386	43.8746504
387	43.8676752
388	43.8624488
389	43.8580852
390	43.84615035
391	43.8419963
392	43.83455636
393	43.82987838
394	43.82732225
395	43.81511483
396	43.81138504
397	43.80488235
398	43.79834319
399	43.7924742
400	43.78698382
401	43.78028771
402	43.76826933
403	43.76411009
404	43.75539624
405	43.75029325
406	43.74455364
407	43.74120155
408	43.73455068
409	43.73043404
410	43.72546227
411	43.72184403
412	43.71153418
413	43.70710119
414	43.69243828
415	43.67652559
416	43.67301591
417	43.66085609
418	43.65254288
419	43.64583699
420	43.63406835
421	43.62449056
422	43.61427683
423	43.60960533
424	43.59759027
425	43.59181527
426	43.58674892
427	43.58246818
428	43.57812703
429	43.57128068
430	43.56670325
431	43.55893802
432	43.55302369
433	43.54801296
434	43.54180775
435	43.53466642
436	43.52133023
437	43.51827072
438	43.51281714
439	43.50328923
440	43.49277661
441	43.48717401
442	43.47885244
443	43.47359737
444	43.47001727
445	43.46147743
446	43.45741298
447	43.44584696
448	43.43365151
449	43.42183159
450	43.41912436
451	43.4143397
452	43.410514
453	43.4062572
454	43.40098282
455	43.38692326
456	43.37296692
457	43.36946753
458	43.35828606
459	43.35285214
460	43.34659086
461	43.34146544
462	43.34032431
463	43.33612667
464	43.32465624
465	43.31257871
466	43.30050499
467	43.29512789
468	43.28845785
469	43.28171422
470	43.27788721
471	43.26483225
472	43.25464387
473	43.25125334
474	43.24697607
475	43.24118961
476	43.23619081
477	43.23159104
478	43.22867898
479	43.22164163
480	43.21786709
481	43.20849456
482	43.20284082
483	43.19636974
484	43.19292505
485	43.18660566
486	43.1781656
487	43.17291133
488	43.16779094
489	43.1627875
490	43.15455861
491	43.15128615
492	43.14734706
493	43.14400773
494	43.13877307
495	43.13588822
496	43.13161935
497	43.12786509
498	43.12350031
499	43.12056415
500	43.1170731
501	43.11140131
502	43.10588912
503	43.10307444
504	43.09445968
505	43.08991375
506	43.08555483
507	43.08014722
508	43.06977886
509	43.06652551
510	43.06263625
511	43.0581319
512	43.05440788
513	43.05094732
514	43.03971198
515	43.02943476
516	43.02527886
517	43.02226018
518	43.01817772
519	43.01644605
520	43.01360572
521	43.00938059
522	43.00629114
523	43.0020073
524	42.99532742
525	42.98669744
526	42.97649075
527	42.97431755
528	42.97019309
529	42.96516992
530	42.95846487
531	42.95028774
532	42.94752622
533	42.94127395
534	42.93054988
535	42.91909066
536	42.915657
537	42.91261679
538	42.90098035
539	42.8969489
540	42.89504894
541	42.89208269
542	42.89118194
543	42.87983007
544	42.87639307
545	42.8732217
546	42.86533388
547	42.85661406
548	42.84698634
549	42.84315178
550	42.8393177
551	42.83554265
552	42.82962837
553	42.82006776
554	42.81440661
555	42.81274098
556	42.81045374
557	42.80387683
558	42.80195597
559	42.79763896
560	42.79424083
561	42.78472533
562	42.78207908
563	42.77944913
564	42.77602119
565	42.77109042
566	42.76647404
567	42.75656971
568	42.75354108
569	42.74482948
570	42.7447629
571	42.74008031
572	42.73306592
573	42.72833376
574	42.71987539
575	42.71579492
576	42.71254688
577	42.70897157
578	42.70497136
579	42.70013527
580	42.69538286
581	42.69282774
582	42.68955036
583	42.68461422
584	42.67940303
585	42.67584874
586	42.67092822
587	42.66790286
588	42.6657597
589	42.65674234
590	42.6535311
591	42.64862203
592	42.64762598
593	42.64526215
594	42.64038793
595	42.63179928
596	42.62186643
597	42.61798975
598	42.6147463
599	42.60653707
600	42.60481713
601	42.6008816
602	42.59815166
603	42.59505859
604	42.5932878
605	42.58826973
606	42.58734284
607	42.58321843
608	42.57475545
609	42.57051379
610	42.56612814
611	42.56424598
612	42.55928496
613	42.55686983
614	42.55106503
615	42.54784281
616	42.54583885
617	42.54281381
618	42.54028347
619	42.53699901
620	42.53360332
621	42.53041294
622	42.52679199
623	42.52338255
624	42.52213289
625	42.52054481
626	42.5171628
627	42.51062361
628	42.50957413
629	42.50553765
630	42.50170766
631	42.49839402
632	42.49594245
633	42.49363587
634	42.48970793
635	42.48677906
636	42.48439462
637	42.48147858
638	42.4766622
639	42.4735662
640	42.46622509
641	42.46348842
642	42.46261855
643	42.46038375
644	42.45821296
645	42.45023045
646	42.44803786
647	42.43981701
648	42.43222438
649	42.42586464
650	42.42338848
651	42.41658133
652	42.41266982
653	42.41097796
654	42.40509638
655	42.39924338
656	42.39084316
657	42.38352782
658	42.37844448
659	42.37564077
660	42.3714043
661	42.36747932
662	42.36611958
663	42.36584872
664	42.3638558
665	42.3560199
666	42.35403918
667	42.35081172
668	42.34695993
669	42.34504949
670	42.34364978
671	42.3390771
672	42.33530509
673	42.33427465
674	42.33181068
675	42.32689562
676	42.3236803
677	42.32110331
678	42.31304444
679	42.31117884
680	42.30772492
681	42.30204771
682	42.29945575
683	42.29678487
684	42.29295233
685	42.28785279
686	42.28171914
687	42.27916554
688	42.27842738
689	42.27611068
690	42.27282814
691	42.27075055
692	42.26329762
693	42.261837
694	42.25961074
695	42.25158534
696	42.24863166
697	42.24409755
698	42.24097021
699	42.2375996
700	42.23533733
701	42.23235612
702	42.22664118
703	42.22372006
704	42.21937202
705	42.21572683
706	42.21083324
707	42.20381601
708	42.20181516
709	42.19894606
710	42.19549564
711	42.19173085
712	42.19031106
713	42.18983171
714	42.18696666
715	42.1811804
716	42.17488998
717	42.16862353
718	42.16571722
719	42.16124367
720	42.16038611
721	42.15860148
722	42.15471456
723	42.15450955
724	42.14941978
725	42.14695509
726	42.14419932
727	42.14092009
728	42.14024161
729	42.13468324
730	42.13303426
731	42.12910187
732	42.12695519
733	42.124795
734	42.12236047
735	42.11835508
736	42.1171143
737	42.11319877
738	42.10991434
739	42.10603063
740	42.10132954
741	42.09801676
742	42.0960856
743	42.09419158
744	42.08813764
745	42.08551486
746	42.08433767
747	42.08211225
748	42.07665476
749	42.06970349
750	42.06586089
751	42.06301747
752	42.06224236
753	42.05636831
754	42.05003283
755	42.04793116
756	42.04401423
757	42.04164406
758	42.03650086
759	42.03403672
760	42.03363033
761	42.02828144
762	42.0232015
763	42.02249447
764	42.0198114
765	42.0163528
766	42.0101237
767	42.00846949
768	42.00595904
769	41.99682031
770	41.99485435
771	41.99186206
772	41.98657694
773	41.98394168
774	41.98057594
775	41.97717443
776	41.97334582
777	41.97130212
778	41.97009676
779	41.96557239
780	41.96201962
781	41.95982936
782	41.95907586
783	41.95654064
784	41.9550259
785	41.95307385
786	41.9486632
787	41.94350591
788	41.94145567
789	41.93902986
790	41.93756564
791	41.93517125
792	41.92700927
793	41.92516309
794	41.9215985
795	41.91861811
796	41.91523815
797	41.91381549
798	41.9067675
799	41.90559444
